,mes_numero,trimestre,valor_total_lag_1,quantidade_transacoes_lag_1,ticket_medio_lag_1,crescimento_valor_lag_1,crescimento_qtd_lag_1,valor_total_mm3,quantidade_transacoes_mm3,ticket_medio_mm3,flag_crescimento_valor,flag_crescimento_qtd
mes_numero,1.0,0.9694129105519361,0.037193529053042275,0.06810346362893255,0.13739842369561733,0.12189867625081506,-0.06726000827450812,-0.12374639724452831,-0.0016210355197108762,-0.15385384837229418,-0.021222693349666744,-0.10331363722686916
trimestre,0.9694129105519361,1.0,0.07119750280557904,0.04009735653846131,0.1525521479269522,0.17195322244858624,-0.08638516578962939,-0.09858190543096497,-0.010843622132370972,-0.1162976013667137,-0.030717019856431167,-0.11376486201314721
valor_total_lag_1,0.037193529053042275,0.07119750280557904,1.0,0.4546867489071205,0.8811093201191653,0.8099907539029056,0.02268201586985353,0.4591730293738802,0.4286126743828143,0.2396676692842997,-0.3650275569536626,-0.069096367600727
quantidade_transacoes_lag_1,0.06810346362893255,0.04009735653846131,0.4546867489071205,1.0,0.14141298302363586,0.2024148032004114,0.4324474307477553,0.29353655438969434,0.7685500470215102,-0.22895644640781432,0.048543504765234516,-0.380101240490093
ticket_medio_lag_1,0.13739842369561733,0.1525521479269522,0.8811093201191653,0.14141298302363586,1.0,0.6647436054072955,-0.16756784123804364,0.3050235467379711,0.12025811267865247,0.2749029933110659,-0.37200732137466586,0.21788618608760646
crescimento_valor_lag_1,0.12189867625081506,0.17195322244858624,0.8099907539029056,0.2024148032004114,0.6647436054072955,1.0,0.03306431215718398,0.20516173689309028,0.15379553952806355,0.1204928684011699,-0.33610902138837334,-0.24575715543062174
crescimento_qtd_lag_1,-0.06726000827450812,-0.08638516578962939,0.02268201586985353,0.4324474307477553,-0.16756784123804364,0.03306431215718398,1.0,-0.0626888755350967,-0.020862029731917378,-0.029001328545365867,-0.03918120736492283,-0.5017242570680353
valor_total_mm3,-0.12374639724452831,-0.09858190543096497,0.4591730293738802,0.29353655438969434,0.3050235467379711,0.20516173689309028,-0.0626888755350967,1.0,0.6019866901005386,0.7902864450099062,0.07507134827942555,-0.13080387299196417
quantidade_transacoes_mm3,-0.0016210355197108762,-0.010843622132370972,0.4286126743828143,0.7685500470215102,0.12025811267865247,0.15379553952806355,-0.020862029731917378,0.6019866901005386,1.0,0.01686376783241395,0.09011915944470517,-0.12143201740839157
ticket_medio_mm3,-0.15385384837229418,-0.1162976013667137,0.2396676692842997,-0.22895644640781432,0.2749029933110659,0.1204928684011699,-0.029001328545365867,0.7902864450099062,0.01686376783241395,1.0,-0.04826309732643836,-0.06543077329828292
flag_crescimento_valor,-0.021222693349666744,-0.030717019856431167,-0.3650275569536626,0.048543504765234516,-0.37200732137466586,-0.33610902138837334,-0.03918120736492283,0.07507134827942555,0.09011915944470517,-0.04826309732643836,1.0,0.0772710125233398
flag_crescimento_qtd,-0.10331363722686916,-0.11376486201314721,-0.069096367600727,-0.380101240490093,0.21788618608760646,-0.24575715543062174,-0.5017242570680353,-0.13080387299196417,-0.12143201740839157,-0.06543077329828292,0.0772710125233398,1.0
