origem,metric,value,metrica,valor
regression_metrics.csv,MAE,269342298393.5713,,
regression_metrics.csv,MSE,1.4243156680622484e+23,,
regression_metrics.csv,RMSE,377401068899.1552,,
regression_metrics.csv,R2,-0.5449223402754995,,
regression_metrics.csv,MAPE,50.28939434761024,,
classification_metrics.csv,accuracy,0.625,,
classification_metrics.csv,precision,0.7857142857142857,,
classification_metrics.csv,recall,0.625,,
classification_metrics.csv,f1,0.5636363636363637,,
business_metrics_summary.csv,,,total_transacoes,22078752317.0
business_metrics_summary.csv,,,valor_total_movimentado,9355965546051.062
business_metrics_summary.csv,,,ticket_medio_geral,423.75426888806754
business_metrics_summary.csv,,,maior_mes_quantidade,202605.0
business_metrics_summary.csv,,,maior_mes_valor,202607.0
business_metrics_summary.csv,,,economia_estimativa_total_cartao,93746774771.43164
business_metrics_summary.csv,,,economia_estimativa_total_transferencia,231826899328.5
