,mes_numero,trimestre,valor_total_lag_1,quantidade_transacoes_lag_1,ticket_medio_lag_1,crescimento_valor_lag_1,crescimento_qtd_lag_1,valor_total_mm3,quantidade_transacoes_mm3,ticket_medio_mm3,flag_crescimento_valor,flag_crescimento_qtd
mes_numero,1.0,0.9694129105519361,0.03719679687836529,0.06813648906593799,0.13738309816478175,0.12189348229812515,-0.0672946314680133,-0.12374171728900475,-0.001573057915641153,-0.1538773705686687,-0.021222693349666744,-0.10331363722686916
trimestre,0.9694129105519361,1.0,0.07120168971529449,0.04013817472843474,0.1525328521857546,0.17194899929109211,-0.08641087138108519,-0.09857709020671664,-0.01079525359844246,-0.11632143956936086,-0.030717019856431167,-0.11376486201314721
valor_total_lag_1,0.03719679687836529,0.07120168971529449,1.0,0.45467747792638996,0.881114801240341,0.8099930565644772,0.022644996727852734,0.45917193349989555,0.4286193737971994,0.2396736846792118,-0.36502531482310185,-0.06909317354341733
quantidade_transacoes_lag_1,0.06813648906593799,0.04013817472843474,0.45467747792638996,1.0,0.14141703977622763,0.20240882576963257,0.43244856344376226,0.2935249414333698,0.7685553475338205,-0.22895792312838537,0.0485732463467827,-0.3800771412886804
ticket_medio_lag_1,0.13738309816478175,0.1525328521857546,0.881114801240341,0.14141703977622763,1.0,0.6647465260561564,-0.16760695493513283,0.3050306247608814,0.1202751970132466,0.27490568908487245,-0.3720190650327641,0.21786992806460345
crescimento_valor_lag_1,0.12189348229812515,0.17194899929109211,0.8099930565644772,0.20240882576963257,0.6647465260561564,1.0,0.03300166374249587,0.2051610046376168,0.15381553222121894,0.120482309988136,-0.33611502322558195,-0.24575085426482696
crescimento_qtd_lag_1,-0.0672946314680133,-0.08641087138108519,0.022644996727852734,0.43244856344376226,-0.16760695493513283,0.03300166374249587,1.0,-0.0627265922978167,-0.02083113074928214,-0.029078533620009207,-0.039198145875560225,-0.5016697739726891
valor_total_mm3,-0.12374171728900475,-0.09857709020671664,0.45917193349989555,0.2935249414333698,0.3050306247608814,0.2051610046376168,-0.0627265922978167,1.0,0.6019916148075791,0.7903000167282299,0.07507324460343817,-0.1308045827433181
quantidade_transacoes_mm3,-0.001573057915641153,-0.01079525359844246,0.4286193737971994,0.7685553475338205,0.1202751970132466,0.15381553222121894,-0.02083113074928214,0.6019916148075791,1.0,0.016892203498825815,0.09014037912685267,-0.12144205481619187
ticket_medio_mm3,-0.1538773705686687,-0.11632143956936086,0.2396736846792118,-0.22895792312838537,0.27490568908487245,0.120482309988136,-0.029078533620009207,0.7903000167282299,0.016892203498825815,1.0,-0.048271324115135794,-0.06542884400909062
flag_crescimento_valor,-0.021222693349666744,-0.030717019856431167,-0.36502531482310185,0.0485732463467827,-0.3720190650327641,-0.33611502322558195,-0.039198145875560225,0.07507324460343817,0.09014037912685267,-0.048271324115135794,1.0,0.0772710125233398
flag_crescimento_qtd,-0.10331363722686916,-0.11376486201314721,-0.06909317354341733,-0.3800771412886804,0.21786992806460345,-0.24575085426482696,-0.5016697739726891,-0.1308045827433181,-0.12144205481619187,-0.06542884400909062,0.0772710125233398,1.0
