origem,metric,value,metrica,valor
regression_metrics.csv,MAE,143805315859.54984,,
regression_metrics.csv,MSE,4.273168317245372e+22,,
regression_metrics.csv,RMSE,206716431791.1223,,
regression_metrics.csv,R2,-6147.633352067311,,
regression_metrics.csv,MAPE,37644.73692003269,,
classification_metrics.csv,accuracy,0.75,,
classification_metrics.csv,precision,0.8214285714285714,,
classification_metrics.csv,recall,0.75,,
classification_metrics.csv,f1,0.7083333333333333,,
business_metrics_summary.csv,,,total_transacoes,352026871.0
business_metrics_summary.csv,,,valor_total_movimentado,152014892079.25006
business_metrics_summary.csv,,,ticket_medio_geral,431.8275239825373
business_metrics_summary.csv,,,maior_mes_quantidade,202601.0
business_metrics_summary.csv,,,maior_mes_valor,202511.0
business_metrics_summary.csv,,,economia_estimativa_total_cartao,1523189218.6340852
business_metrics_summary.csv,,,economia_estimativa_total_transferencia,3696282145.5
